Tamaños;Tiempo_búsqueda_lineal;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
10;104.302;52.6141;96.7193
50;389.099;67.4516;106.348
500;3840.79;101.678;148.934
2000;14582.3;112.933;159.321
10000;72536.6;129.09;184.31
50000;363600;185.393;290.203
100000;738364;197.248;474.525
300000;2.18468e+06;270.423;719.977
500000;3.6429e+06;321.279;1062.89
800000;5.93243e+06;614.015;1970.37
1000000;7.2293e+06;494.987;1925.76
1500000;1.08967e+07;670.551;2037.89
2000000;1.4713e+07;960.277;2398.63
