Tamaños;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
1000000;176.904;231.466
10000000;209.929;265.105
20000000;221.511;283.46
30000000;211.49;269.116
40000000;200.033;256.096
50000000;217.863;279.303
60000000;215.983;271.665
70000000;232.793;291.566
80000000;221.329;281.93
90000000;224.568;279.456
