Tamaños;Tiempo_búsqueda_lineal;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
100000;680060;0;0
2100000;1.48811e+07;0;0
4100000;2.86022e+07;0;0
6100000;4.38033e+07;0;0
8100000;5.69844e+07;0;0
10100000;7.1107e+07;0;0
12100000;8.56063e+07;0;0
