Tamaños;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
1000000;184.897;220.5
10000000;202.195;256.069
20000000;211.362;253.474
30000000;209.324;253.231
40000000;221.292;271.681
50000000;216.96;266.868
60000000;240.152;265.709
70000000;217.492;263.377
80000000;219.973;267.027
90000000;220.297;272.08
